t=2026-01-24T15:18:02+0300 lvl=info msg="no configuration paths supplied"
t=2026-01-24T15:18:02+0300 lvl=info msg="using configuration at default config path" path="/Users/nurayselcetin/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-24T15:18:02+0300 lvl=info msg="open config file" path="/Users/nurayselcetin/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-24T15:18:02+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-24T15:18:02+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-24T15:18:02+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T15:18:02+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T15:18:03+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://korey-judgmatic-therese.ngrok-free.dev
t=2026-01-24T15:19:12+0300 lvl=info msg="join connections" obj=join id=446bef703402 l=127.0.0.1:8000 r=88.230.148.238:29178
t=2026-01-24T15:19:21+0300 lvl=info msg="join connections" obj=join id=a0998a4cd903 l=127.0.0.1:8000 r=88.230.148.238:29178
t=2026-01-24T15:19:39+0300 lvl=info msg="join connections" obj=join id=7e00971d8c68 l=127.0.0.1:8000 r=88.230.148.238:29178
t=2026-01-24T15:19:42+0300 lvl=info msg="join connections" obj=join id=3bf5993e4479 l=127.0.0.1:8000 r=88.230.148.238:29178
t=2026-01-24T15:20:09+0300 lvl=info msg="join connections" obj=join id=7f27371c1c13 l=127.0.0.1:8000 r=88.230.148.238:27223
t=2026-01-24T15:20:49+0300 lvl=info msg="join connections" obj=join id=bbbec1b3d1d5 l=127.0.0.1:8000 r=88.230.148.238:29016
t=2026-01-24T15:24:48+0300 lvl=info msg="join connections" obj=join id=8aa4c6157073 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:24:54+0300 lvl=info msg="join connections" obj=join id=51c279aa789c l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:24:54+0300 lvl=info msg="join connections" obj=join id=9bfeeee68c13 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:25:34+0300 lvl=info msg="join connections" obj=join id=e19edd4e4984 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:25:34+0300 lvl=info msg="join connections" obj=join id=7fa66d1de799 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:28:07+0300 lvl=info msg="join connections" obj=join id=c8e9bffb9cdd l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:29:31+0300 lvl=info msg="join connections" obj=join id=1eba37aa87f6 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:29:35+0300 lvl=info msg="join connections" obj=join id=8c8925e6e549 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:29:46+0300 lvl=info msg="join connections" obj=join id=f00cc5a7e5ea l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:29:46+0300 lvl=info msg="join connections" obj=join id=19c4aec346ec l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:31:26+0300 lvl=info msg="join connections" obj=join id=683a9bba1639 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:31:28+0300 lvl=info msg="join connections" obj=join id=b8fd00266991 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:32:59+0300 lvl=info msg="join connections" obj=join id=58911228f3cc l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:33:01+0300 lvl=info msg="join connections" obj=join id=67198cd72dd7 l=127.0.0.1:8000 r=88.230.148.238:29166
t=2026-01-24T15:37:12+0300 lvl=info msg="join connections" obj=join id=d7ff1663137c l=127.0.0.1:8000 r=78.173.134.207:9928
t=2026-01-24T15:37:25+0300 lvl=info msg="join connections" obj=join id=e98f3ba585e4 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:37:27+0300 lvl=info msg="join connections" obj=join id=553c2af94179 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:37:45+0300 lvl=info msg="join connections" obj=join id=b08f71e53126 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:37:45+0300 lvl=info msg="join connections" obj=join id=506e33e5424d l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:38:03+0300 lvl=info msg="join connections" obj=join id=e5098023d1b0 l=127.0.0.1:8000 r=78.173.134.207:9928
t=2026-01-24T15:39:16+0300 lvl=info msg="join connections" obj=join id=7e6ddba9f8ec l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:39:18+0300 lvl=info msg="join connections" obj=join id=0e3874af986e l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:40:56+0300 lvl=info msg="join connections" obj=join id=ef7db692cc76 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:40:56+0300 lvl=info msg="join connections" obj=join id=79498cc0c73c l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:41:06+0300 lvl=info msg="join connections" obj=join id=4fd210031cc4 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:41:06+0300 lvl=info msg="join connections" obj=join id=e5763a41f4f7 l=127.0.0.1:8000 r=88.230.148.238:26569
t=2026-01-24T15:43:10+0300 lvl=info msg="join connections" obj=join id=f73c5d414bd6 l=127.0.0.1:8000 r=5.27.207.8:55099
t=2026-01-24T15:43:30+0300 lvl=info msg="join connections" obj=join id=dc16dff2c362 l=127.0.0.1:8000 r=5.27.207.8:55099
t=2026-01-24T15:45:38+0300 lvl=info msg="join connections" obj=join id=67429dbb59d7 l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:46:02+0300 lvl=info msg="join connections" obj=join id=7c0c100bcf85 l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:46:10+0300 lvl=info msg="join connections" obj=join id=d753ae65821e l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:46:19+0300 lvl=info msg="join connections" obj=join id=d071db7dc1db l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:47:30+0300 lvl=info msg="join connections" obj=join id=9fb5387e7b74 l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:47:46+0300 lvl=info msg="join connections" obj=join id=2d8dbff6405e l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:48:05+0300 lvl=info msg="join connections" obj=join id=a4e39af509b8 l=127.0.0.1:8000 r=78.173.134.207:10036
t=2026-01-24T15:52:36+0300 lvl=info msg="join connections" obj=join id=1d8669040a06 l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:52:37+0300 lvl=info msg="join connections" obj=join id=fa471819e2d7 l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:52:47+0300 lvl=info msg="join connections" obj=join id=30c65e751f3f l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:52:47+0300 lvl=info msg="join connections" obj=join id=f15c58db34a2 l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:53:00+0300 lvl=info msg="join connections" obj=join id=7f8a7c1e635f l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:53:00+0300 lvl=info msg="join connections" obj=join id=40dafb2d32c0 l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:53:11+0300 lvl=info msg="join connections" obj=join id=5b95e76e8b14 l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:53:11+0300 lvl=info msg="join connections" obj=join id=41efc568a87c l=127.0.0.1:8000 r=78.173.134.207:12305
t=2026-01-24T15:55:21+0300 lvl=info msg="join connections" obj=join id=e30fb1435772 l=127.0.0.1:8000 r=88.230.148.238:27654
t=2026-01-24T15:55:21+0300 lvl=info msg="join connections" obj=join id=fc8304abb8ee l=127.0.0.1:8000 r=88.230.148.238:27654
t=2026-01-24T15:59:57+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read EOF from remote peer"
t=2026-01-24T15:59:58+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T15:59:58+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T16:00:09+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=052950be501f clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T16:00:14+0300 lvl=info msg="join connections" obj=join id=998d4f6fae89 l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:00:31+0300 lvl=info msg="join connections" obj=join id=91522525c3ad l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:01:34+0300 lvl=info msg="join connections" obj=join id=9dfcf27c3f4e l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:01:41+0300 lvl=info msg="join connections" obj=join id=c546c1d050ce l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:02:47+0300 lvl=info msg="join connections" obj=join id=0cfb12734934 l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:02:47+0300 lvl=info msg="join connections" obj=join id=8b9bbb395091 l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:02:47+0300 lvl=info msg="join connections" obj=join id=9fe2bdd5cdd5 l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:02:58+0300 lvl=info msg="join connections" obj=join id=e24f2da1a656 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:02:58+0300 lvl=info msg="join connections" obj=join id=ec1327a12398 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:03:11+0300 lvl=info msg="join connections" obj=join id=cb6cfc34e0be l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:03:30+0300 lvl=info msg="join connections" obj=join id=8f54f7b2ea4d l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:03:30+0300 lvl=info msg="join connections" obj=join id=02316626fb15 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:28+0300 lvl=info msg="join connections" obj=join id=776fba5f4583 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:28+0300 lvl=info msg="join connections" obj=join id=10765db161fc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:40+0300 lvl=info msg="join connections" obj=join id=0b197b59b9fc l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:05:10+0300 lvl=info msg="join connections" obj=join id=6aadc4a3d8fc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:36+0300 lvl=info msg="join connections" obj=join id=c0cd116367c5 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:36+0300 lvl=info msg="join connections" obj=join id=eef61254e8ac l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:42+0300 lvl=info msg="join connections" obj=join id=e6463ca4512e l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:49+0300 lvl=info msg="join connections" obj=join id=005c96a298a0 l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:05:49+0300 lvl=info msg="join connections" obj=join id=6228296522fa l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:06:02+0300 lvl=info msg="join connections" obj=join id=9f46ceaf262b l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:06:02+0300 lvl=info msg="join connections" obj=join id=8fbcdce839fa l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:08:30+0300 lvl=info msg="join connections" obj=join id=a40ca81339ee l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:30+0300 lvl=info msg="join connections" obj=join id=bb74489c59a7 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:42+0300 lvl=info msg="join connections" obj=join id=862b6c22d62b l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:59+0300 lvl=info msg="join connections" obj=join id=30a7c4bb1dcc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:09:03+0300 lvl=info msg="join connections" obj=join id=b1866d17a2b6 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:09:15+0300 lvl=info msg="join connections" obj=join id=9db8bf33f0d6 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:15:23+0300 lvl=info msg="join connections" obj=join id=5357ee7b9316 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:24+0300 lvl=info msg="join connections" obj=join id=e6fa08af2a21 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:44+0300 lvl=info msg="join connections" obj=join id=efc056f9bb9b l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:56+0300 lvl=info msg="join connections" obj=join id=190336372310 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:29+0300 lvl=info msg="join connections" obj=join id=b56e8a51c3aa l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:32+0300 lvl=info msg="join connections" obj=join id=b64077ce95e4 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:39+0300 lvl=info msg="join connections" obj=join id=9bf8c0458c69 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:49+0300 lvl=info msg="join connections" obj=join id=284eb530cdef l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:30:22+0300 lvl=info msg="join connections" obj=join id=d008ea0d38f9 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:23+0300 lvl=info msg="join connections" obj=join id=b1f71d1b47af l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:42+0300 lvl=info msg="join connections" obj=join id=46e721380b6c l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:46+0300 lvl=info msg="join connections" obj=join id=38a7b33844b7 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:59+0300 lvl=info msg="join connections" obj=join id=384b61229dc6 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:59+0300 lvl=info msg="join connections" obj=join id=4f404a8daaef l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:38:20+0300 lvl=info msg="join connections" obj=join id=f00b5671f284 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:38:20+0300 lvl=info msg="join connections" obj=join id=703846ea5c2d l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:15+0300 lvl=info msg="join connections" obj=join id=1962da2bb41f l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:35+0300 lvl=info msg="join connections" obj=join id=70e84d348dd6 l=127.0.0.1:8000 r=88.230.148.238:26847
